1,"貝多芬牙醫診所","桃園市","中壢區","中山東路二段173號","03-4363669","齒顎矯正科"
2,"品臻牙醫診所","桃園市","中壢區","中北路49號","03-4374567","牙科一般科"
3,"新典美學牙醫診所","桃園市","中壢區","三光路60號","03-4911668","牙科一般科"
4,"壯青牙醫診所","桃園市","中壢區","中山路163號","03-4255558","牙科一般科"
5,"晶鑽牙醫診所","桃園市","中壢區","中山路50號1樓","03-4275881","牙科一般科"
6,"益智牙醫診所","桃園市","中壢區","忠孝路265號2樓","03-4526759","牙科一般科"
7,"非凡牙醫診所","桃園市","中壢區","健行路37號及39號1樓","03-4591599","牙科一般科"
8,"品碩牙醫診所","桃園市","中壢區","莊敬路817號","03-4611109","牙科一般科"
9,"高第牙醫診所","桃園市","中壢區","中山東路二段33號1樓","03-4652000","牙科一般科"
10,"阿米答牙醫診所","桃園市","中壢區","興農路118號1樓","03-4522528","牙科一般科"
11,"名一牙醫診所","桃園市","中壢區","龍岡路2段120號1、2樓","03-4575460","牙科一般科"
12,"聯安牙醫診所","桃園市","中壢區","新生路139號1樓","03-4223636","牙科一般科"
13,"當代牙醫診所","桃園市","中壢區","中央西路二段43號、45號、47號1樓、2樓","03-4948311","牙科一般科"
14,"新當代牙醫診所","桃園市","中壢區","民權路175、177號1-2樓","03-4013176","牙科一般科"
15,"吉品牙醫診所","桃園市","中壢區","榮安一街200號1樓","03-4638638","牙科一般科"
16,"青青牙醫診所","桃園市","中壢區","九和六街7號1樓、9號1樓","03-4224891","牙科一般科"
17,"綠光牙醫診所","桃園市","中壢區","元化路117號1-2樓","03-2805911","牙科一般科"
18,"桃樂絲牙醫診所","桃園市","中壢區","元化路271巷30號3樓","03-4625333","牙科一般科"
19,"澄品牙醫診所","桃園市","中壢區","慈惠三街119號1-2F","03-4261336","牙科一般科"
20,"歐唯貝斯牙醫診所","桃園市","中壢區","元化路28號2樓、30號2樓、32號1樓","03-2806186","牙科一般科"
21,"品安牙醫診所","桃園市","中壢區","莊敬路98號1樓","03-4535004","牙科一般科"
22,"晶華牙醫診所","桃園市","中壢區","新生路273號1、2樓","03-4256330","牙科一般科"
23,"亞緻牙醫診所","桃園市","中壢區","元化路292、296、298號1樓","03-4224678","牙科一般科"
24,"A21牙醫診所","桃園市","中壢區","環北路151號1、2樓","03-4517766","牙科一般科"
25,"宏綺牙醫診所","桃園市","中壢區","林森路171號1樓、地下1樓","03-4670851","牙科一般科"
26,"維思登牙醫診所","桃園市","中壢區","高鐵站前西路1段206號，1樓、2樓",,"牙科一般科"
27,"微美牙醫診所","桃園市","中壢區","延平路450號1,2樓","03-4260276","牙科一般科"
28,"彼德牙醫診所","桃園市","中壢區","榮安十三街315號1-3樓",,"牙科一般科"
29,"當代明新牙醫診所","桃園市","中壢區","中央西路二段59號1樓","03-4948288","牙科一般科"
30,"格林牙醫診所","桃園市","中壢區","慈惠三街130號1-2樓","03-4225967","牙科一般科"
31,"當代興國牙醫診所","桃園市","中壢區","中豐路86號1-4樓","03-4948897","牙科一般科"
32,"康雅牙醫診所","桃園市","中壢區","自強六路41號1-2樓","03-4610471","牙科一般科"
33,"新隆豐牙醫診所","桃園市","中壢區","龍東路23號1樓、2樓","03-4367671","牙科一般科"
34,"元化澄品牙醫診所","桃園市","中壢區","元化路19號1-4樓","03-4220238","牙科一般科"
35,"新中北牙醫診所","桃園市","中壢區","新中北路2段453號1樓、455號1樓","03-2850888","牙科一般科"
36,"澄心牙醫診所","桃園市","中壢區","環中東路291號1樓","03-4331332","牙科一般科"
37,"佳承牙醫診所","桃園市","中壢區","中華路一段202號1-2樓","03-4519448","牙科一般科"
38,"韋承牙醫診所","桃園市","中壢區","龍岡路三段112號1樓","03-4576974","牙科一般科"
39,"中美牙醫診所","桃園市","中壢區","中北路11號","03-4565500","牙科一般科"
40,"群英牙醫診所","桃園市","中壢區","中正路221號","03-4272803","牙科一般科"
41,"春田牙醫診所","桃園市","中壢區","福州二街416號","03-4615457","牙科一般科"
42,"智揚牙醫診所","桃園市","中壢區","中山路539號","03-4928163","牙科一般科"
43,"元培牙醫診所","桃園市","中壢區","元化路二段16號","03-4221245","牙科一般科"
44,"精英牙醫診所","桃園市","中壢區","元化路64號","03-4225605","牙科一般科"
45,"煥生牙醫診所","桃園市","中壢區","中正路240號","03-4222013","牙科一般科"
46,"中心牙醫診所","桃園市","中壢區","中正路179號","03-4220268","牙科一般科"
47,"華大牙醫診所","桃園市","中壢區","中正路143號","03-4221337","牙科一般科"
48,"智康牙醫診所","桃園市","中壢區","榮民路73號","03-4555779","牙科一般科"
49,"健昇牙醫診所","桃園市","中壢區","榮民路101號","03-4533174","牙科一般科"
50,"國際牙醫診所","桃園市","中壢區","元化路57號","03-4255035","牙科一般科"
51,"新生牙醫診所","桃園市","中壢區","新生路301號","03-4277289","牙科一般科"
52,"宏源牙醫診所","桃園市","中壢區","文化路361號","03-4621388","牙科一般科"
53,"至善牙醫診所","桃園市","中壢區","中北路二段82號","03-4588307","牙科一般科"
54,"全家福牙醫診所","桃園市","中壢區","中北路二段460號","03-4368005","牙科一般科"
55,"名贊牙醫診所","桃園市","中壢區","新明路97號","03-4929256","牙科一般科"
56,"永潔牙醫診所","桃園市","中壢區","新中北路49、51號","03-4362740","牙科一般科"
57,"精誠牙醫診所","桃園市","中壢區","中正路343號","03-4927492","牙科一般科"
58,"永福牙醫診所","桃園市","中壢區","永福路1037號","03-4633366","牙科一般科"
59,"鼎新牙醫診所","桃園市","中壢區","莊敬路811巷7號","03-4358421","牙科一般科"
60,"冠眾牙醫診所","桃園市","中壢區","元化路99號1、2樓","03-4283170","牙科一般科"
61,"東津牙醫診所","桃園市","中壢區","興仁路一段99號","03-4631021","牙科一般科"
62,"源泰牙醫診所","桃園市","中壢區","龍岡路二段八號一樓、二樓","03-4670066","牙科一般科"
63,"德欣牙醫診所","桃園市","中壢區","民族路五段80號","03-4205737","牙科一般科"
64,"建田牙醫診所","桃園市","中壢區","龍東路267號","03-4385146","牙科一般科"
